book_id,isbn,bookId,author_id,book_type,type_id,book_name,author_name,introduction,total_r,weekly_r,words_count,logo,score
16023,zh1324528,1324528,56299814,都市,11,国运：开局秒选金光咒,陆红尘,​天外陨石，灵气复苏。一场由未知存在开启的养蛊游戏由此开始，当然你们也可以将它称之为……国运战场。米国有黑暗与光明两大教廷，熊国有蛮神血脉与神庙传承，即便是樱花也有万兽契约，可这里的夏国历史缺失两千年，没有丝毫传承。他们只能够依靠运气去觉醒出那些已有的科技，去与之对抗。在这样恶劣的竞争下，夏国在国运战场上不断失败，资源在不断减少，国运更是一年不如一年。可他们仍然用鲜血与生命在守卫着国家期待将来能有翻身之日。也正是这时，一批新人的觉醒，一本‘金光咒’就此现世……,0.0,0.0,40000,"https://dss1.baidu.com/6ONXsjip0QIZ8tyhnq/it/u=1413898166,204256910&fm=179&app=35&f=JPEG?w=267&h=356&s=43BB3BC7C80360CE360CE1260300F048",5.6
20389,zh1304703,1304703,56264591,N次元,6,海贼：我的霸气有亿点点强,剧盒子@qimiaoEYTxy1,"罗恩意外穿越海贼世界，
获得霸气躺平系统，
从此在躺平的路上，越走越远。
【叮，恭喜宿主又成功躺平一天，获得极致武装色。】
【成熟的强者何需努力修炼，由于宿主躺平达到极致，获得满级霸王色。】
至此，罗恩在躺平变强的路上，一去不复返，成为草帽团最强副船长。
白胡子：罗恩这个家伙，真是恐怖如斯，尤其是霸气。
红发：什么最强霸王色，罗恩这个家伙才是。
凯多：虽然我一心求死，但千万不要让我遇见罗恩。
战国：罗恩这个家伙，必须不惜一切代价抹除。
五老星：罗恩甚至超越了那个传说，必须解决他。
这时，罗恩缓缓走出来，淡淡道：各位，在下哪有那么强，无非是霸气有亿点点强罢了。
众大佬：霸气有亿点点强，礼貌吗？
突然未来的某一天，罗恩带着草帽海贼团，集体出动，世界格局大变。",0.0,0.0,40000,"https://dss1.baidu.com/6ONXsjip0QIZ8tyhnq/it/u=173761820,1948864448&fm=179&app=35&f=JPEG?w=267&h=356&s=ECC7FD085A5735FF0D0DC8970100C082",5.0
15863,zh1327457,1327457,56227992,仙侠,4,我开局就长生了,卓招卧,【不无脑+猥琐发育+不圣母+长生流+杀伐果断】莫宏意外穿越，并获得一本可以在体内自行运转的长生诀，生生不息，寿命不断。为了能更快的变强，莫宏走上了一条不断削减寿命来变强的疯狂道路。“消耗精血的秘法是吧，我随便使用！”“打不死我的东西只能让我变得更强，还有什么能削短寿命来变强的功法，全部拿来吧！”,0.0,0.0,41000,"https://dss0.baidu.com/6ONWsjip0QIZ8tyhnq/it/u=652181871,71352865&fm=179&app=35&f=JPEG?w=267&h=356&s=0B15CD004EF54DAD9D54C5CB030070B1",5.3
15637,zh1333591,1333591,56309914,现实题材,5,爱的分贝,此良人,张胜宇一名听障人的生活百态，他经历过质疑，也曾有过迷茫，但他从未放弃，寻找着属于自己的光芒……,0.0,0.0,45000,"https://dss0.baidu.com/6ONWsjip0QIZ8tyhnq/it/u=2869344841,2127211597&fm=179&app=35&f=JPEG?w=267&h=356&s=FF486084084788DC40986EAD03003086",6.3
17003,zh1326892,1326892,52819158,玄幻,2,开局激活杀手系统，我靠杀人得长生,漫莲洞,陈二牛穿越成乾国一名刽子手，在手上沾染上鲜血那一刻，激活杀手系统。每杀一人都能获得此人所剩下的全部寿元，还能获得被杀者身上任意一样东西。从此，陈二牛走上了长生不死的杀手之道。不仁不义者，杀！不忠不孝者，杀！伤天害理者，杀！许多年后，陈二牛蓦然回首，身后已是白骨成山，脚下已是深渊血海……,0.0,0.0,48000,"https://dss1.baidu.com/6ONXsjip0QIZ8tyhnq/it/u=4162980361,3417005444&fm=179&app=35&f=JPEG?w=267&h=356&s=ECF01CC7CC62E4DE7C1A3D280300501A",6.1
17246,zh1331972,1331972,54633449,玄幻,2,从水贼开始的成神之路,圆又圆,穿越了，楚禾站在帆船上，他是无数水贼中的一员，也是融合了雷泽之灵的天选穿越者！水下有宝藏无数、奇珍灵植遍地、珍惜灵鱼价若千金……可也有无数凶猛异兽，异变植物，这是人类的禁区，却是楚禾的天堂！雷泽之灵融合进化，操弄风雨，江海畅行……【紫电虺蛇→黑蚀天蟒→潜渊蛟龙→山海虬龙→雷泽龙神】……逐渐的，海神国风调雨顺，有岁在甲子，天下大吉的传言流出！一件黄袍披于身上，楚禾被推上龙椅，面对百官朝拜，终是仰天长叹：“朕真不是海神啊！”,0.0,0.0,48000,"https://dss1.baidu.com/6ONXsjip0QIZ8tyhnq/it/u=1257509403,3528993956&fm=179&app=35&f=JPEG?w=267&h=356&s=B50865B39E597FED3A345CE3030070E2",8.1
17769,zh1325402,1325402,56278256,玄幻,2,一剑断万古,往生,丹田被毁，筋脉寸断，意外获得上古传承，以即一柄诛神剑！从此逆转！持剑惊天地，一剑断万古！,0.0,0.0,49000,"https://dss2.baidu.com/6ONYsjip0QIZ8tyhnq/it/u=3932079070,3716260377&fm=179&app=35&f=JPEG?w=267&h=356&s=3D654E86D48EE1FF18971D7A0300101A",5.4
20431,zh1277751,1277751,55008752,N次元,6,哈利波特：双子传奇,猫不是滋味,"作为斯内普教授的儿女们，路易斯和索菲亚为了来霍格沃茨上学必须隐瞒身份。
路易斯是个斯莱特林，索菲亚是个格兰芬多。
外人面前是冷酷的斯内普教授，学院的角落是个宠娃狂魔。
邓布利多这个白胡子老头也并没有看起来的那么伟光正，这也无所谓。
我们来这是来学习的又不是来跟你打工的。
里德尔这个特殊的魂器在蝴蝶翅膀的煽动下又会有着怎样不同的结局?
相比于剧情，路易斯更喜欢去研究魔法强大自己，以及考虑如何……保命。
随着慢慢接触巫师界，路易斯才清楚的明白
罗琳书里所描绘的巫师界只是冰山一角而已。",1.0,0.0,50000,"https://dss0.baidu.com/6ONWsjip0QIZ8tyhnq/it/u=3285025962,562438985&fm=179&app=35&f=JPEG?w=267&h=356&s=2EB66884427387DC0221F99403007091",7.4
17472,zh1331071,1331071,54130879,都市,11,不舔校花后，我武道通神,神笔阿来,元武五千年历，武道通神，妖魔肆虐，次元裂缝开启，深渊异兽降临。李亦穿越而来，成了一位高中生。为了系统奖励，迫不得已当了三年的舔狗，到头来系统却告诉李亦，舔狗对象舔错人了？好啊，老子不干了。李亦甩手将送给校花的花扔进了垃圾桶。【系统赔偿宿主，奖励已发放！】【获得不死之身（吞噬之胃）！】只要吃东西，就能获得气血！吃吃吃！我吃吃吃！李亦气血疯狂增长，将校花抛之脑后。若干天后，校花疯了，为什么李亦不爱我了？对此，李亦不屑一笑，“爱你？当初老子追你的时候，还求着你别同意呢。”【获得不死之身（漆黑之手）！】【获得不死之身（恶魔双腿！）】【获得不死之身（通透之眼！）】【获得不死之身（通冠之心！）】李亦在无敌的路上，越走越远。那一日，妖魔攻城，李亦独守一城，杀得天地悲鸣，血流成河！,0.0,0.0,52000,"https://dss1.baidu.com/6ONXsjip0QIZ8tyhnq/it/u=820977575,493524488&fm=179&app=35&f=JPEG?w=267&h=356&s=B2181CC706E39EF84AE5202603007043",5.7
17473,zh1330060,1330060,53003940,历史,3,新晋,飞走的可乐,东汉末年，王室大坏，九州幅裂，乱靡有定，生民无几......驾白马，品英雄气，历史，不是书中的演义。——“现在朝我们走来的是:大汉公车征召，曾任高柳别部司马、中郎、马城令、中山郡守、太原郡守、五官中郎将、骠骑将军、晋国公，兼诛阉宦、定异族、平黄巾、讨董卓之大功臣，汉灵帝亲认之大汉柱石，一统河南河北、承天命之晋太祖—张泛！”书名又为《这不是三国演义？》。,5.0,0.0,53000,"https://dss1.baidu.com/6ONXsjip0QIZ8tyhnq/it/u=4190009858,2424498062&fm=179&app=35&f=JPEG?w=267&h=356&s=EA15CF0832AD6AA9799D51CB030010A2",5.6
